date,region,state,cases,deaths
2020-02-09,Sudeste,Espírito Santo,0,0
2020-02-09,Sudeste,Minas Gerais,0,0
2020-02-09,Sudeste,Rio de Janeiro,0,0
2020-02-09,Sudeste,São Paulo,0,0
2020-02-09,Sul,Paraná,0,0
2020-02-09,Sul,Rio Grande do Sul,0,0
2020-02-09,Sul,Santa Catarina,0,0
2020-02-10,Centro-Oeste,Distrito Federal,0,0
2020-02-10,Centro-Oeste,Goiás,0,0
2020-02-10,Centro-Oeste,Mato Grosso,0,0
2020-02-10,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-10,Nordeste,Alagoas,0,0
2020-02-10,Nordeste,Bahia,0,0
2020-02-10,Nordeste,Ceará,0,0
2020-02-10,Nordeste,Maranhão,0,0
2020-02-10,Nordeste,Paraíba,0,0
2020-02-10,Nordeste,Pernambuco,0,0
2020-02-10,Nordeste,Piauí,0,0
2020-02-10,Nordeste,Rio Grande do Norte,0,0
2020-02-10,Nordeste,Sergipe,0,0
2020-02-10,Norte,Acre,0,0
2020-02-10,Norte,Amapá,0,0
2020-02-10,Norte,Amazonas,0,0
2020-02-10,Norte,Pará,0,0
2020-02-10,Norte,Rondônia,0,0
2020-02-10,Norte,Roraima,0,0
2020-02-10,Norte,Tocantins,0,0
2020-02-10,Sudeste,Espírito Santo,0,0
2020-02-10,Sudeste,Minas Gerais,0,0
2020-02-10,Sudeste,Rio de Janeiro,0,0
2020-02-10,Sudeste,São Paulo,0,0
2020-02-10,Sul,Paraná,0,0
2020-02-10,Sul,Rio Grande do Sul,0,0
2020-02-10,Sul,Santa Catarina,0,0
2020-02-11,Centro-Oeste,Distrito Federal,0,0
2020-02-11,Centro-Oeste,Goiás,0,0
2020-02-11,Centro-Oeste,Mato Grosso,0,0
2020-02-11,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-11,Nordeste,Alagoas,0,0
2020-02-11,Nordeste,Bahia,0,0
2020-02-11,Nordeste,Ceará,0,0
2020-02-11,Nordeste,Maranhão,0,0
2020-02-11,Nordeste,Paraíba,0,0
2020-02-11,Nordeste,Pernambuco,0,0
2020-02-11,Nordeste,Piauí,0,0
2020-02-11,Nordeste,Rio Grande do Norte,0,0
2020-02-11,Nordeste,Sergipe,0,0
2020-02-11,Norte,Acre,0,0
2020-02-11,Norte,Amapá,0,0
2020-02-11,Norte,Amazonas,0,0
2020-02-11,Norte,Pará,0,0
2020-02-11,Norte,Rondônia,0,0
2020-02-11,Norte,Roraima,0,0
2020-02-11,Norte,Tocantins,0,0
2020-02-11,Sudeste,Espírito Santo,0,0
2020-02-11,Sudeste,Minas Gerais,0,0
2020-02-11,Sudeste,Rio de Janeiro,0,0
2020-02-11,Sudeste,São Paulo,0,0
2020-02-11,Sul,Paraná,0,0
2020-02-11,Sul,Rio Grande do Sul,0,0
2020-02-11,Sul,Santa Catarina,0,0
2020-02-12,Centro-Oeste,Distrito Federal,0,0
2020-02-12,Centro-Oeste,Goiás,0,0
2020-02-12,Centro-Oeste,Mato Grosso,0,0
2020-02-12,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-12,Nordeste,Alagoas,0,0
2020-02-12,Nordeste,Bahia,0,0
2020-02-12,Nordeste,Ceará,0,0
2020-02-12,Nordeste,Maranhão,0,0
2020-02-12,Nordeste,Paraíba,0,0
2020-02-12,Nordeste,Pernambuco,0,0
2020-02-12,Nordeste,Piauí,0,0
2020-02-12,Nordeste,Rio Grande do Norte,0,0
2020-02-12,Nordeste,Sergipe,0,0
2020-02-12,Norte,Acre,0,0
2020-02-12,Norte,Amapá,0,0
2020-02-12,Norte,Amazonas,0,0
2020-02-12,Norte,Pará,0,0
2020-02-12,Norte,Rondônia,0,0
2020-02-12,Norte,Roraima,0,0
2020-02-12,Norte,Tocantins,0,0
2020-02-12,Sudeste,Espírito Santo,0,0
2020-02-12,Sudeste,Minas Gerais,0,0
2020-02-12,Sudeste,Rio de Janeiro,0,0
2020-02-12,Sudeste,São Paulo,0,0
2020-02-12,Sul,Paraná,0,0
2020-02-12,Sul,Rio Grande do Sul,0,0
2020-02-12,Sul,Santa Catarina,0,0
2020-02-13,Centro-Oeste,Distrito Federal,0,0
2020-02-13,Centro-Oeste,Goiás,0,0
2020-02-13,Centro-Oeste,Mato Grosso,0,0
2020-02-13,Centro-Oeste,Mato Grosso do Sul,0,0
2020-02-13,Nordeste,Alagoas,0,0
2020-02-13,Nordeste,Bahia,0,0
2020-02-13,Nordeste,Ceará,0,0
2020-02-13,Nordeste,Maranhão,0,0
2020-02-13,Nordeste,Paraíba,0,0
2020-02-13,Nordeste,Pernambuco,0,0
2020-02-13,Nordeste,Piauí,0,0
2020-02-13,Nordeste,Rio Grande do Norte,0,0
2020-02-13,Nordeste,Sergipe,0,0
2020-02-13,Norte,Acre,0,0
2020-02-13,Norte,Amapá,0,0
2020-02-13,Norte,Amazonas,0,0
2020-02-13,Norte,Pará,0,0
2020-02-13,Norte,Rondônia,0,0
2020-02-13,Norte,Roraima,0,0
2020-02-13,Norte,Tocantins,0,0
2020-02-13,Sudeste,Espírito Santo,0,0
2020-02-13,Sudeste,Minas Gerais,0,0
2020-02-13,Sudeste,Rio de Janeiro,0,0
2020-02-13,Sudeste,São Paulo,0,0
2020-02-13,Sul,Paraná,0,0
2020-02-13,Sul,Rio Grande do Sul,0,0
2020-02-13,Sul,Santa Catarina,0,0
2020-02-14,Centro-Oeste,Distrito Federal,0,0
2020-02-14,Centro-Oeste,Goiás,0,0
2020-02-14,Centro-Oeste,Mato Grosso,0,0
